,2017,2018,2019
ENGENHARIA QUÍMICA,55,24,6
CIÊNCIAS ODONTOLÓGICAS,2414,2540,2134
GEOGRAFIA,15,6,0
ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,18,11,0
ECOLOGIA,59,11,0
LETRAS,41,2,0
ADMINISTRAÇÃO,9940,8592,7351
FISIOTERAPIA,71,24,3
DIREITO,7885,7027,5861
SISTEMAS DE INFORMAÇÃO,6911,6155,5667
NUTRIÇÃO,99,47,29
ENGENHARIA DE SOFTWARE,2477,2222,1887
ENGENHARIA AMBIENTAL,15,6,4
ARQUITETURA E URBANISMO,10195,8823,7792
CIÊNCIA DA COMPUTAÇÃO,7060,6421,5499
BIBLIOTECONOMIA,7307,6378,5889
TURISMO,13,15,3
FILOSOFIA,9559,8344,7345
COMUNICAÇÃO SOCIAL,8253,6953,5885
ARTES CÊNICAS,2115,2082,1812
HISTÓRIA,78,21,16
ENGENHARIA DA COMPUTAÇÃO,43,15,0
AGRONOMIA,7543,6798,5583
"CIÊNCIA, TECNOLOGIA E INOVAÇÃO",2415,2365,2026
GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO,2266,1891,1771
MATEMÁTICA,7898,6524,5481
BIOQUÍMICA,2294,1944,2057
BIOINFORMÁTICA,2190,1914,1825
DESIGN,2272,1838,1841
MÚSICA,23,19,0
CIÊNCIA E ENGENHARIA DE MATERIAIS,2316,2110,2008
CIÊNCIAS BIOLÓGICAS,7253,6524,5344
DANÇA,7189,6606,5885
ENGENHARIA CIVIL,10371,9086,8462
CIÊNCIAS DA SAÚDE,2434,1986,1825
CIÊNCIAS SOCIAIS,6918,6181,5788
ENGENHARIA DE PETRÓLEO,7536,6614,5811
PEDAGOGIA,7434,6518,5869
CIÊNCIAS E TECNOLOGIA,8137,6961,6079
CIÊNCIAS ATUARIAIS,8054,7235,6384
ENFERMAGEM,7456,6891,6165
EDUCAÇÃO FÍSICA,7643,6815,5761
BIOMEDICINA,7166,6273,5400
ENGENHARIA FLORESTAL,7418,6785,6111
