,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
ENGENHARIA QUÍMICA,5461,4443,2804,1730,785,485,106,55,24,6,0,15899
CIÊNCIAS ODONTOLÓGICAS,1873,1901,2077,2359,2206,2253,2154,2414,2540,2134,352,22263
GEOGRAFIA,4576,3458,2211,1211,476,187,17,15,6,0,0,12157
ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,4547,3608,2242,1222,532,212,30,18,11,0,0,12422
ECOLOGIA,5320,4165,2700,1720,787,357,106,59,11,0,0,15225
LETRAS,3953,3009,1741,1202,444,179,51,41,2,0,0,10622
ADMINISTRAÇÃO,7271,8939,9677,10949,10325,10166,9757,9940,8592,7351,1035,94002
FISIOTERAPIA,5078,3792,2547,1395,675,220,65,71,24,3,0,13870
DIREITO,5241,6890,8298,8538,8064,7665,7363,7885,7027,5861,905,73737
SISTEMAS DE INFORMAÇÃO,5908,7232,8130,8372,7739,6966,6767,6911,6155,5667,804,70651
NUTRIÇÃO,4520,3443,2282,1201,557,250,134,99,47,29,1,12563
ENGENHARIA DE SOFTWARE,1920,1870,2167,2645,2378,2279,2402,2477,2222,1887,264,22511
ENGENHARIA AMBIENTAL,4257,3252,2177,1342,518,165,27,15,6,4,0,11763
ARQUITETURA E URBANISMO,2598,5221,7820,9274,9261,9509,10226,10195,8823,7792,1067,81786
CIÊNCIA DA COMPUTAÇÃO,5694,7290,7938,8237,7342,7440,7209,7060,6421,5499,809,70939
BIBLIOTECONOMIA,5179,6953,7898,8416,7389,7784,7044,7307,6378,5889,900,71137
TURISMO,4674,3595,2258,1257,588,202,40,13,15,3,0,12645
FILOSOFIA,2842,5129,7699,9442,9457,9745,9852,9559,8344,7345,1134,80548
COMUNICAÇÃO SOCIAL,5436,7515,7767,8209,7405,7147,7973,8253,6953,5885,796,73339
ARTES CÊNICAS,1763,1752,1894,2352,2460,2238,2233,2115,2082,1812,229,20930
HISTÓRIA,3909,2929,2015,1012,438,250,115,78,21,16,0,10783
ENGENHARIA DA COMPUTAÇÃO,4705,3497,2305,1400,570,207,51,43,15,0,0,12793
AGRONOMIA,5924,7311,8419,8860,8237,7307,7377,7543,6798,5583,830,74189
"CIÊNCIA, TECNOLOGIA E INOVAÇÃO",1508,1622,1977,1859,2151,2376,2430,2415,2365,2026,303,21032
GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO,1739,2049,2360,2316,2192,2280,2493,2266,1891,1771,252,21609
MATEMÁTICA,5508,7666,8537,9056,7972,7729,7686,7898,6524,5481,777,74834
BIOQUÍMICA,1794,1870,2190,2301,2229,2232,2210,2294,1944,2057,272,21393
BIOINFORMÁTICA,1750,1922,1965,2270,2367,2294,2254,2190,1914,1825,263,21014
DESIGN,1973,2263,2189,2385,2294,2232,2329,2272,1838,1841,254,21870
MÚSICA,4731,3702,2470,1299,484,280,57,23,19,0,0,13065
CIÊNCIA E ENGENHARIA DE MATERIAIS,1577,1649,2305,2329,2326,2558,2570,2316,2110,2008,328,22076
CIÊNCIAS BIOLÓGICAS,5397,6771,7828,8346,7516,6930,6994,7253,6524,5344,832,69735
DANÇA,6152,7421,8231,8625,8090,7595,7169,7189,6606,5885,881,73844
ENGENHARIA CIVIL,2452,5082,6985,8773,9921,10245,10300,10371,9086,8462,1105,82782
CIÊNCIAS DA SAÚDE,1294,1699,1893,2366,2215,2448,2461,2434,1986,1825,234,20855
CIÊNCIAS SOCIAIS,5433,6968,8147,8913,7985,7489,6979,6918,6181,5788,825,71626
ENGENHARIA DE PETRÓLEO,854,3411,5574,7629,7301,6989,7778,7536,6614,5811,811,60308
PEDAGOGIA,760,3204,5560,6612,7241,7189,7153,7434,6518,5869,866,58406
CIÊNCIAS E TECNOLOGIA,814,3515,5839,7292,7268,7361,7531,8137,6961,6079,924,61721
CIÊNCIAS ATUARIAIS,890,4006,5859,7348,7973,7788,8412,8054,7235,6384,926,64875
ENFERMAGEM,643,3255,5584,7291,7249,6655,7334,7456,6891,6165,964,59487
EDUCAÇÃO FÍSICA,989,3521,5845,7099,7333,7467,7571,7643,6815,5761,854,60898
BIOMEDICINA,978,3519,5952,7253,6797,6854,7297,7166,6273,5400,806,58295
ENGENHARIA FLORESTAL,808,3213,5253,6296,7096,6959,7350,7418,6785,6111,878,58167
Total,150693,185522,207609,220003,204633,197163,197457,198849,175597,154659,22481,1914666
